Geneid,Chr,Start,End,Strand,Length,Female_1,Female_2,Female_3,Female_4,Labium_1,Labium_2,Labium_3 ,Labium_4,Male_1,Male_2,Male_3 ,Male_4 ,MH_12 
gene4959,NC_035108.1;NC_035108.1,35737917;35805689,35738016;35805718,-;-,130,0,421,139,134,7,0,86,140,0,0,0,2,0
gene4960,NC_035108.1;NC_035108.1;NC_035108.1,35738761;35739197;35739541,35739131;35739460;35739789,+;+;+,884,2617,5109,3577,5599,2578,2267,2327,2535,4125,327,5927,2275,3116
gene4961,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,35753695;35754017;35761626;35762145;35762658,35753913;35754768;35762076;35762380;35763963,+;+;+;+;+,2964,2,0,90,1,0,0,0,0,0,4,0,0,0
gene4962,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,35793627;35794446;35794661;35794772;35802073;35802619;35803001,35794373;35794591;35794706;35794902;35802228;35802789;35803166,-;-;-;-;-;-;-,1563,19057,6581,7318,6598,11644,12113,12214,13988,527,6400,8863,9392,2002
gene4963,NC_035108.1;NC_035108.1;NC_035108.1,35809004;35809631;35809986,35809566;35809926;35810259,-;-;-,1133,0,0,0,0,0,8,0,0,0,0,0,0,0
gene4964,NC_035108.1;NC_035108.1;NC_035108.1,35819718;35819942;35820303,35819861;35820237;35820917,+;+;+,1055,0,0,0,0,106,106,93,95,0,0,0,0,0
gene4965,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,35830717;35854616;35872342;35872663;35893521;35893915;35934891;35935083;35935429;35935865;35936167;35945197;35945524,35831453;35854812;35872360;35872931;35893538;35894205;35935025;35935371;35935806;35936102;35936395;35945465;35946962,+;+;+;+;+;+;+;+;+;+;+;+;+,4508,0,0,0,0,318,130,210,118,0,0,0,0,0
gene4966,NC_035108.1;NC_035108.1,35871548;35872142,35871780;35872342,-;-,434,0,0,0,0,18,0,76,2,0,0,236,0,0
gene4967,NC_035108.1,35932066,35932137,+,72,0,0,0,0,0,0,0,0,0,0,0,0,0
gene4968,NC_035108.1;NC_035108.1;NC_035108.1,35957270;35962469;36012445,35957926;35962947;36013135,-;-;-,1827,0,0,0,0,50,76,2,17,0,0,0,0,0
gene4969,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,36040485;36050948;36051136;36051345,36040933;36051076;36051267;36051483,+;+;+;+,849,86,1886,90,1068,190,313,176,240,0,0,0,0,868
gene4970,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,36062162;36062376;36076326;36076521;36076716,36062288;36062576;36076448;36076652;36076944,+;+;+;+;+,812,0,0,0,0,0,5,12,0,0,0,0,0,0
gene4971,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,36076819;36085346;36085533;36085747;36086010;36086277;36127598;36138893;36138924,36077562;36085460;36085687;36085941;36086201;36086343;36128106;36138910;36139228,-;-;-;-;-;-;-;-;-,2300,0,0,1034,269,3478,5652,3442,5625,0,0,0,0,0
gene4972,NC_035108.1;NC_035108.1,36151788;36152181,36152115;36152879,-;-,1027,0,0,0,0,900,527,787,998,0,0,0,0,0
gene4973,NC_035108.1;NC_035108.1,36169930;36170332,36170265;36171052,-;-,1057,0,0,0,0,0,0,0,0,0,0,0,0,0
gene4974,NC_035108.1;NC_035108.1,36190229;36191060,36190990;36191512,+;+,1215,0,0,0,0,0,0,0,0,0,0,0,0,0
gene4975,NC_035108.1;NC_035108.1,36197680;36198512,36198439;36198851,+;+,1100,0,0,0,0,0,0,0,0,0,0,0,0,0
gene4976,NC_035108.1;NC_035108.1,36216373;36216726,36216645;36217463,-;-,1011,0,0,0,0,17,0,161,77,0,0,0,0,0
gene4977,NC_035108.1;NC_035108.1,36219094;36219861,36219801;36220133,+;+,981,0,0,0,0,0,0,0,0,0,0,0,0,0
gene4978,NC_035108.1;NC_035108.1,36233176;36233556,36233479;36234197,-;-,946,0,0,0,0,0,0,0,0,0,0,0,0,0
gene4979,NC_035108.1;NC_035108.1,36234839;36235619,36235559;36235880,+;+,983,0,0,0,0,0,0,0,0,0,0,0,0,0
gene4980,NC_035108.1;NC_035108.1,36242149;36242472,36242416;36242897,+;+,694,0,0,0,0,9,2,13,3,0,0,0,0,0
gene4981,NC_035108.1;NC_035108.1,36246647;36247428,36247365;36248034,+;+,1326,0,0,0,0,0,0,0,0,0,0,0,0,0
gene4982,NC_035108.1;NC_035108.1;NC_035108.1,36255486;36256767;36263587,36256710;36257244;36263686,-;-;-,1803,95,40,203,146,1752,2875,975,2771,42,375,2627,141,192
gene4983,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,36271954;36273126;36281033;36281171,36273055;36273603;36281164;36281186,-;-;-;-,1728,6536,5932,5744,7360,175532,229388,219384,284016,11080,31427,261965,19645,13928
gene4984,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,36305969;36334782;36359705;36359886;36374180;36374531;36414939,36307826;36335342;36359821;36360411;36374440;36374938;36415161,-;-;-;-;-;-;-,3954,271,693,1145,17,894,1116,1291,1266,5,0,2282,59,635
gene4985,NC_035108.1;NC_035108.1;NC_035108.1,36419057;36419453;36428768,36419227;36420437;36429408,+;+;+,1797,4663,3316,3112,1583,1620,1730,1309,1272,4447,0,2402,780,3428
gene4986,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,36435370;36436820;36443537;36443695;36444058;36444543;36454592,36436759;36436988;36443613;36443894;36444178;36444606;36455046,-;-;-;-;-;-;-,2476,43,514,290,1095,650,819,706,911,0,0,10,0,362
gene4987,NC_035108.1;NC_035108.1;NC_035108.1,36455202;36487702;36487966,36455453;36487897;36488481,+;+;+,964,84,70,203,99,259,293,355,311,69,176,84,0,3
gene4988,NC_035108.1;NC_035108.1;NC_035108.1,36472043;36478015;36478457,36472348;36478393;36479050,+;+;+,1279,2268,2040,2263,2577,547,761,610,821,1448,177,2264,1558,3570
gene4989,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,36489277;36497345;36498180;36522021;36525402;36531872,36491800;36498123;36498405;36522678;36525597;36531975,-;-;-;-;-;-,4487,677,298,592,795,515,837,548,970,10,675,693,180,118
gene4990,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,36538352;36538681;36540195;36540778,36538561;36539635;36540517;36541528,+;+;+;+,2239,1339,2070,11,2046,1852,1680,1707,3085,1,4359,1227,2608,1134
gene4991,NC_035108.1,36553689,36554497,-,809,14990,19359,17153,15198,11566,10049,10581,9539,2057,2390,7942,11182,24438
gene4992,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,36577338;36623023;36630869;36632618;36633023,36578086;36623463;36631855;36632767;36633887,+;+;+;+;+,3192,1415,905,380,1556,1471,1749,1891,1850,0,520,1187,1396,2530
gene4993,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,36642295;36643947;36644091;36649338;36649635;36650615;36650908;36663009,36643884;36644031;36644218;36649569;36650055;36650843;36651617;36663467,-;-;-;-;-;-;-;-,3854,18,5,10,6,17,11,18,13,0,6,3,0,1
gene4994,NC_035108.1;NC_035108.1,36724611;36752768,36724953;36756614,+;+,4190,0,0,0,0,0,0,0,0,0,0,0,0,0
gene4995,NC_035108.1,36769530,36770197,+,668,0,0,0,0,0,0,0,0,0,0,198,1845,0
gene4996,NC_035108.1;NC_035108.1,36780829;36805029,36782458;36805294,-;-,1896,4568,1208,2062,2690,337,530,541,498,2260,5674,3249,9130,1651
gene4997,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,36835985;36836228;36852909;36883529,36836135;36836485;36853649;36883649,-;-;-;-,1271,0,0,0,0,720,984,1554,1059,0,0,0,0,0
gene4998,NC_035108.1;NC_035108.1,36904388;36905394,36904814;36906253,-;-,1287,190,0,0,0,45,9,26,5,0,0,0,0,0
gene4999,NC_035108.1;NC_035108.1,36921970;36922835,36922774;36923181,+;+,1152,0,2,0,0,14,263,0,0,0,0,0,0,0
gene5000,NC_035108.1,36983819,36984592,-,774,0,0,0,0,0,0,0,0,0,0,0,0,0
gene5001,NC_035108.1;NC_035108.1;NC_035108.1,36994292;36994947;36995113,36994873;36995050;36995152,-;-;-,726,308,0,185,88,0,48,41,52,0,0,57,0,463
gene5002,NC_035108.1;NC_035108.1,37006937;37007527,37007466;37008455,-;-,1459,8524,9745,8602,9795,7525,10475,6603,9852,24,4740,5217,3518,14197
gene5003,NC_035108.1;NC_035108.1,37031615;37056874,37032532;37057848,-;-,1893,0,0,0,0,234,238,914,374,0,1264,0,0,0
gene5004,NC_035108.1;NC_035108.1;NC_035108.1,37079692;37091832;37099885,37080025;37092590;37100709,-;-;-,1918,564,1848,1686,359,5634,6212,6362,5905,0,0,7207,114,295
gene5005,NC_035108.1;NC_035108.1,37110569;37118593,37111005;37119470,-;-,1315,269,437,374,760,2426,2700,1996,2328,0,2254,257,0,1
gene5006,NC_035108.1;NC_035108.1,37132120;37133059,37132986;37133772,+;+,1581,3502,3327,4204,2777,3486,3642,3899,4743,3712,11634,3697,4946,2192
gene5007,NC_035108.1;NC_035108.1,37134532;37135349,37135284;37135969,+;+,1374,1943,187,997,0,8196,8967,9781,8827,0,59,2780,1502,192
gene5008,NC_035108.1;NC_035108.1,37146769;37147721,37147647;37148313,+;+,1472,1032,0,0,0,6265,5620,6584,8105,8,0,901,0,0
gene5009,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,37157525;37164681;37165092;37165640,37157878;37164875;37165193;37165735,-;-;-;-,747,64215,64789,65093,53900,51755,45233,40469,36740,40662,85476,61204,94491,69132
gene5010,NC_035108.1;NC_035108.1;NC_035108.1,37172808;37173095;37173250,37173032;37173193;37174051,+;+;+,1126,2413,854,2661,3794,1444,1175,1632,1472,0,3080,658,1784,3091
gene5011,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,37193439;37193671;37194054;37194628;37194879;37195185;37195335,37193608;37193993;37194569;37194812;37195122;37195267;37195554,-;-;-;-;-;-;-,1741,0,66,0,105,434,483,583,390,0,0,0,0,0
gene5012,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,37208017;37219162;37220375;37220580;37223402;37306355,37208997;37220290;37220496;37220733;37223519;37307318,-;-;-;-;-;-,3468,392,397,230,314,1729,1646,998,2154,3506,8224,836,1859,0
gene5013,NC_035108.1;NC_035108.1;NC_035108.1,37228016;37228851;37229079,37228789;37229016;37229401,+;+;+,1263,0,0,0,0,69,0,29,0,0,0,0,0,0
gene5014,NC_035108.1;NC_035108.1;NC_035108.1,37270028;37270257;37270423,37270203;37270362;37270521,-;-;-,381,27,0,0,0,0,0,0,0,0,0,0,0,0
gene5015,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,37354847;37355170;37356432;37395860,37355167;37356042;37356552;37396339,-;-;-;-,1795,0,0,0,0,400,226,141,63,1062,0,0,0,0
gene5016,NC_035108.1;NC_035108.1,37431013;37432157,37431651;37432379,-;-,862,0,0,0,0,0,0,8,0,0,0,0,0,0
gene5017,NC_035108.1;NC_035108.1,37472237;37472541,37472472;37472756,-;-,452,0,0,0,0,0,0,0,0,0,0,0,0,0
gene5018,NC_035108.1;NC_035108.1,37493991;37494357,37494281;37494565,-;-,500,0,0,0,0,0,0,0,0,0,0,0,0,0
gene5019,NC_035108.1,37503659,37504201,-,543,0,0,0,0,0,0,0,0,0,0,0,0,0
gene5020,NC_035108.1,37524396,37524880,-,485,0,0,0,0,0,0,0,0,0,0,0,0,0
gene5021,NC_035108.1,37541902,37542456,-,555,0,0,0,0,0,0,0,0,0,0,0,0,0
gene5022,NC_035108.1;NC_035108.1,37553275;37553661,37553594;37553889,-;-,549,0,505,0,0,0,12,7,19,0,0,0,0,0
gene5023,NC_035108.1;NC_035108.1,37577676;37578385,37578291;37578774,+;+,1006,0,0,0,0,4,0,19,26,0,0,0,0,0
gene5024,NC_035108.1;NC_035108.1;NC_035108.1,37589851;37590517;37590697,37590455;37590632;37590814,-;-;-,839,0,0,0,0,0,0,2,0,0,0,0,0,0
gene5025,NC_035108.1;NC_035108.1;NC_035108.1,37593796;37594173;37603268,37594114;37594282;37603541,-;-;-,703,0,0,283,0,9488,9595,11093,11439,0,0,27646,0,1
gene5026,NC_035108.1;NC_035108.1,37684561;37686666,37684629;37687266,+;+,670,0,0,0,0,32,0,21,20,0,0,0,0,0
gene5027,NC_035108.1;NC_035108.1,37704440;37704576,37704503;37705271,+;+,760,0,0,0,0,0,0,0,0,0,0,0,0,0
gene5028,NC_035108.1;NC_035108.1,37720186;37731068,37720708;37731774,+;+,1230,0,0,0,0,0,0,0,0,0,0,0,0,0
gene5029,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,37772360;37772542;37776321;37776828;37781550,37772380;37772686;37776769;37776848;37781555,-;-;-;-;-,642,233,2,0,0,9,0,2,4,0,3,0,0,0
gene5030,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,37782918;37783614;37803465;37817095,37783552;37784353;37804139;37817539,-;-;-;-,2495,1538,1121,1145,1365,1462,1982,1485,1739,0,5856,2062,3444,609
gene5031,NC_035108.1;NC_035108.1;NC_035108.1,37817187;37818832;37837833,37818519;37819158;37838504,-;-;-,2332,0,0,0,0,0,0,0,0,0,0,0,0,0
gene5032,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,37872708;37886757;37887151;37887628,37873085;37887083;37887560;37888083,+;+;+;+,1571,0,0,0,0,45,38,31,0,0,0,0,0,0
gene5033,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,37911180;37915216;37915692;37916448;37916599;37916987;37917214;37917399;37917600;37927807;37928020;37928532;37939758;37940307;37949885;37956030,37913524;37915635;37916387;37916539;37916925;37917152;37917332;37917540;37917744;37927954;37928464;37928611;37940232;37940438;37950307;37956431,-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,6557,842,3132,397,1383,1254,1309,989,1621,315,1324,1217,2072,537
gene5034,NC_035108.1;NC_035108.1,37970054;37970278,37970212;37971023,+;+,905,4504,8065,1438,10878,3495,3396,3113,3513,1941,1038,3549,9831,11058
gene5035,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,37981744;37986934;38002376;38015948;38089845;38484144,37986852;37987343;38002420;38015995;38089902;38486852,-;-;-;-;-;-,8379,14190,12987,12889,16332,6367,11440,8004,10037,1173,3229,6099,4210,9098
gene5036,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,38727510;38728224;38752695;38849537,38728149;38728263;38753659;38849811,-;-;-;-,1920,0,0,1,0,582,546,510,528,0,0,1,0,0
gene5037,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,38855788;38855974;38864185;38864470;38864659;38865108;38865234;38867920;38876150,38855913;38856190;38864417;38864596;38864940;38865158;38865399;38868253;38876469,-;-;-;-;-;-;-;-;-,1856,0,1078,0,0,0,0,9,0,0,0,0,0,0
gene5038,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,38902427;38932690;38933159;38933932;38946398,38902767;38933099;38933874;38934116;38948269,+;+;+;+;+,3524,3197,4310,4801,1667,925,1437,1571,1764,0,2767,0,0,1746
gene5039,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,38957897;38959814;38960031;38961101;38961397;38961644;38983664;38984477;39026335;39088907;39124110;39152934;39193816;39290092,38959408;38959959;38961041;38961332;38961586;38961885;38983842;38984643;39026373;39090130;39124469;39153439;39193881;39291413,-;-;-;-;-;-;-;-;-;-;-;-;-;-,7196,19923,13917,13770,17336,5521,7699,7540,8987,164,206,1118,3500,15657
gene5040,NC_035108.1;NC_035108.1,39030959;39031279,39031215;39031804,-;-,783,0,0,0,0,19,0,21,20,0,0,0,0,1074
gene5041,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,39304763;39310197;39312012;39312411;39316367;39316984;39317172;39329391;39402783,39307236;39310323;39312344;39312897;39316423;39317028;39317283;39329894;39403154,-;-;-;-;-;-;-;-;-,4511,35564,34611,48960,37441,36382,38160,48975,70085,15068,23715,33764,27596,86161
gene5042,NC_035108.1;NC_035108.1;NC_035108.1,39411780;39411881;39412012,39411818;39411954;39412050,-;-;-,152,0,0,0,0,0,0,0,0,0,0,0,0,0
gene5043,NC_035108.1;NC_035108.1,39519862;39526362,39520452;39526805,-;-,1035,0,0,0,0,24,0,10,31,0,0,0,0,0
gene5044,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,39526899;39545383;39545597;39545863;39562520;39575205;39575250;39575307,39527858;39545456;39545653;39546025;39562777;39575223;39575268;39575538,-;-;-;-;-;-;-;-,1782,0,0,0,0,258,210,273,242,0,0,0,0,0
gene5045,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,39839451;39839918;39840417;39840998,39839858;39840362;39840921;39841500,-;-;-;-,1861,0,0,0,0,2,0,0,0,0,0,0,0,0
gene5046,NC_035108.1;NC_035108.1;NC_035108.1,39875159;39875709;39876223,39875645;39876165;39877040,-;-;-,1762,0,0,0,0,0,0,0,0,0,0,0,0,0
gene5047,NC_035108.1;NC_035108.1,40392858;40394018,40392959;40394052,+;+,137,0,0,0,0,0,0,0,0,0,0,0,0,0
gene5048,NC_035108.1,40776524,40776777,-,254,0,0,0,0,0,1,1,0,0,0,1,0,3
gene5049,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,40879725;41224800;41287862;41422042;41473107;41493802;41498855;41500157;41500311;41513264;41537525;41537930,40881405;41224952;41288119;41422295;41473493;41494144;41499117;41500250;41500651;41513508;41537864;41539698,+;+;+;+;+;+;+;+;+;+;+;+,6128,183,0,0,398,186,66,200,363,0,0,260,0,0
gene5050,NC_035108.1;NC_035108.1;NC_035108.1,41549844;41550221;41550569,41550157;41550506;41550928,-;-;-,960,419,1294,0,156,269,201,328,212,0,0,0,0,36
gene5051,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,41628484;41628693;41628786;41629688;41742510;41755093;41764124;41786027;41790344;41814406;41818510;41847644;41851693;41859338,41628663;41628772;41629479;41630509;41742607;41755160;41764191;41786253;41790426;41814543;41818647;41847928;41852165;41861946,+;+;+;+;+;+;+;+;+;+;+;+;+;+,5963,8082,7186,7518,8642,2793,4670,4298,5982,1,1440,4482,3966,7800
gene5052,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,41898386;41899258;41899657;41900077,41898772;41899380;41899765;41900216,-;-;-;-,759,20920,21439,18157,16023,15893,15002,10421,9488,20849,27887,18272,27082,26641
gene5053,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,41914588;41969733;41970154;41972441;41973132;41976830;41977409;41977837;41978279;41979143;41983676;41983980,41915284;41970043;41970467;41972807;41973197;41977347;41977722;41977928;41978379;41979209;41983911;41986613,+;+;+;+;+;+;+;+;+;+;+;+,5717,7057,9506,6396,6783,5742,8249,6249,9368,1968,2727,2329,8630,5395
gene5054,NC_035108.1;NC_035108.1,41988967;41989968,41989553;41990060,-;-,680,0,0,0,0,13,0,20,0,0,0,0,0,0
gene5055,NC_035108.1;NC_035108.1,42002985;42003371,42003309;42003498,-;-,453,0,0,0,0,0,0,0,0,1495,1,0,0,0
gene5056,NC_035108.1;NC_035108.1,42010364;42010911,42010717;42011634,+;+,1078,0,0,0,0,339,0,8,336,0,0,72,0,0
gene5057,NC_035108.1;NC_035108.1,42020200;42020896,42020400;42021674,+;+,980,0,0,0,0,508,0,35,336,0,0,9,0,0
gene5058,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,42034561;42037332;42037873;42042197;42045080;42045513;42045847;42046235;42105625,42035710;42037658;42038179;42042295;42045341;42045774;42046173;42046592;42106932,-;-;-;-;-;-;-;-;-,4400,14547,12672,14682,11461,11258,12916,11068,12252,18422,10536,13128,17786,10028
gene5059,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,42125804;42127925;42128082;42221330;42278390;42278844;42279052;42279276;42279508;42280148;42280294;42280512;42281049;42284552;42326067;42355940;42455202,42126862;42127948;42128254;42221441;42278556;42278988;42279213;42279439;42280089;42280235;42280434;42280985;42281267;42285083;42326244;42357139;42456173,-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,6392,1083,649,2548,276,267,353,427,543,0,2,0,0,578
gene5060,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,42581753;42591066;42611502;42612009;42619564;42631618;42632062;42638097,42582695;42591269;42611636;42612198;42619673;42631751;42632310;42638533,-;-;-;-;-;-;-;-,2402,0,0,0,0,0,0,0,0,0,0,0,0,0
gene5061,NC_035108.1;NC_035108.1,42679990;42680942,42680874;42681806,+;+,1750,0,64,0,0,2,0,0,0,0,0,0,0,0
gene5062,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,43026632;43039738;43112683;43122453;43153925;43157392;43157601;43159859;43160652;43176418;43177169;43177428;43184133;43217219;43217571,43026945;43040087;43112743;43123197;43154065;43157527;43159039;43160574;43160911;43177107;43177328;43177568;43184209;43217456;43218071,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,5969,0,0,0,0,6786,6005,5745,7339,0,2,0,0,0
gene5063,NC_035108.1,43092640,43092711,-,72,0,0,0,0,0,0,0,0,0,0,0,0,0
gene5064,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,43249191;43265510;43278509;43279230;43279381;43289062;43429033,43250570;43265646;43278671;43279310;43279571;43289433;43429834,-;-;-;-;-;-;-,3126,203,0,0,0,2038,2109,1579,2521,9,0,1501,0,0
gene5065,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,43467571;43470920;43486324;43486460;43486942;43487204;43487426;43496040;43496645;43496963;43497144;43497985;43498315;43498585;43500640;43511964;43512309;43512594;43548812;43601437;43731572;43740976;43796982;43880769;43966889;44076028;44082627;44083903,43470816;43470947;43486398;43486886;43487144;43487373;43487493;43496393;43496904;43497085;43497922;43498254;43498520;43499575;43501545;43512256;43512525;43512729;43548879;43601528;43732498;43742233;43798025;43881710;43967065;44076838;44082853;44084352,-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,14748,3747,5957,4018,6263,2087,3692,2841,3479,1523,1813,1020,2136,3275
gene5066,NC_035108.1;NC_035108.1;NC_035108.1,43831701;43832173;43832814,43832116;43832756;43833544,+;+;+,1731,0,0,0,0,0,17,1,0,0,0,0,0,0
gene5067,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,43837329;43838363;43846990;43847951,43838305;43839325;43847894;43848784,+;+;+;+,3679,0,0,0,0,6,6,0,0,0,0,0,0,0
gene5068,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,44095428;44097533;44097729;44098238;44098583;44098812;44107659,44097282;44097671;44098182;44098513;44098745;44099041;44107929,-;-;-;-;-;-;-,3388,5167,3283,9200,5594,5829,6832,6854,9792,1661,6778,2305,4304,645
gene5069,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,44120733;44143264;44143984;44144254;44144475;44144692;44145038;44157442;44158139;44158381,44121386;44143915;44144192;44144406;44144626;44144976;44145672;44158069;44158316;44159307,+;+;+;+;+;+;+;+;+;+,4473,3456,5209,254,4062,1234,2018,1467,2583,77,1805,604,208,2539
gene5070,NC_035108.1;NC_035108.1,44153058;44153253,44153191;44153714,-;-,596,0,0,0,0,0,1,0,0,0,0,0,0,0
gene5071,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,44163666;44166154;44175819;44177698,44165716;44167229;44176562;44177918,-;-;-;-,4092,0,623,49,940,206,270,213,127,0,4476,288,334,253
gene5072,NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1;NC_035108.1,44199265;44203658;44206538;44217040;44230712;44256372;44458242;44472048;44473201;44479558;44495762;44508493;44518546;44530534;44543164;44555866;44560468;44694556;44710981;44733113;44747996;44748172;44797583;44798206;44810057;45007075;45151385;45152461,44201454;44206188;44207281;44217190;44232431;44256828;44459566;44472618;44473542;44479725;44496522;44508747;44520311;44531219;44543964;44556326;44561650;44695093;44711087;44737163;44748100;44748365;44798033;44798566;44810258;45008678;45152272;45152842,-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,24995,9827,13171,7261,10467,5638,7699,6913,8941,2190,17982,7006,13694,14469
gene5073,NC_035108.1;NC_035108.1;NC_035108.1,44527668;44528404;44528647,44528333;44528581;44528823,-;-;-,1021,0,0,0,0,10,0,0,0,0,0,0,0,0
gene5074,NC_035108.1;NC_035108.1,45163792;45164409,45164251;45164897,+;+,949,1741,1285,1196,1778,1159,1065,1161,1035,446,1835,1072,1321,1555
